Feature,Importance
S&P500_Momentum,0.10230943719831091
DXY_Momentum,0.07028990709579365
VIX_Momentum,0.0592003502992072
KOSPI_Momentum,0.05421685235539246
NASDAQ_Momentum,0.054066819407695144
KOSDAQ_Momentum,0.03270722896014617
GOLD_Momentum,0.028945809425789785
VIX,0.02813977503243803
KOSDAQ,0.0273744377605209
US_10Y_TREASURY_Momentum,0.02656885731246219
USD_KRW_Momentum,0.02413901051788619
VIX_MA5,0.021889127665311148
WTI_OIL_Momentum,0.019170641153077622
US_Yield_Curve_Momentum,0.01912869241855443
GOLD,0.01595892803240958
GOLD_MA5,0.01519743109286472
KOSPI,0.013815017963594588
S&P500,0.013147637186414709
US_3M_TREASURY_Momentum,0.011753606681189592
NASDAQ,0.009568293597658388
